sale_id,timestamp,book_id,title,author,genre,publisher,isbn,quantity,unit_price,discount_pct,discount_amount,total_amount,customer_id,customer_age,customer_gender,city,payment_method,channel,promo_code,returned,rating,stock_before,stock_after
4156,2023-11-14 01:49:12,B1007,Mistérios de Lisboa,Lucas Ferreira,Autoajuda,Editora Alfa,978-85-48427-9,2,104.43,0,0.0,208.86,C96363,24,M,Fortaleza,Cartão de Débito,Marketplace,,False,,185,183
4832,2023-11-14 01:59:04,B1008,O Jardim das Palavras,Henrique Pires,Não-Ficção,Saber Press,978-85-16006-3,2,100.54,0,0.0,201.08,C23006,34,F,Fortaleza,Cartão de Débito,Loja Física,LANCAMENTO,False,2.0,45,43
2520,2023-11-14 02:05:05,B1008,O Jardim das Palavras,Henrique Pires,Não-Ficção,Saber Press,978-85-16006-3,2,88.05,0,0.0,176.1,C50116,57,M,Recife,Cartão de Crédito,E-commerce,,False,,59,57
8470,2023-11-14 02:13:35,B1010,Contos da Estrada,Rafael Costa,Ciência,Nova Página,978-85-37460-4,2,94.77,0,0.0,189.54,C96271,44,M,Recife,Cartão de Crédito,Aplicativo Mobile,,False,,357,355
3086,2023-11-14 02:49:36,B1015,Romance em Fuga,Laura S. Nunes,Ciência,Saber Press,978-85-28301-3,1,88.28,0,0.0,88.28,C70409,26,F,Recife,Cartão de Débito,E-commerce,,False,,279,278
9669,2023-11-14 04:28:14,B1001,Código do Destino,Mariana Alves,Ficção,Editora Alfa,978-85-23434-8,3,22.89,30,6.87,48.06,C43666,48,O,Recife,Cartão de Débito,Marketplace,PROMO5,False,3.0,235,232
7015,2023-11-14 05:31:22,B1016,Biografias Iluminadas,Sofia Amaral,Biografia,Editora Alfa,978-85-86484-6,1,57.77,15,8.67,49.1,C67702,35,F,Salvador,Pix,E-commerce,BLACKFRIDAY,False,,78,77
655,2023-11-14 06:59:06,B1008,O Jardim das Palavras,Henrique Pires,Não-Ficção,Saber Press,978-85-16006-3,2,99.76,0,0.0,199.52,C13030,41,O,Curitiba,Pix,Aplicativo Mobile,,False,3.0,50,48
115,2023-11-14 08:31:11,B1014,Arte e Técnica,Pedro Monteiro,Romance,Luz & Letras,978-85-95909-7,1,58.77,0,0.0,58.77,C50562,37,M,Porto Alegre,Cartão de Débito,Aplicativo Mobile,LANCAMENTO,False,,476,475
374,2023-11-14 14:29:10,B1008,O Jardim das Palavras,Henrique Pires,Não-Ficção,Saber Press,978-85-16006-3,1,102.63,30,30.79,71.84,C26809,57,F,Recife,Boleto,E-commerce,PROMO5,False,4.0,46,45
